customer_id,first_name,last_name,email,country,city,created_at,customer_segment,lifetime_value,avg_order_value,order_frequency,preferred_categories,is_vip,newsletter_subscriber,mobile_app_user,last_active_date
CUST-2025-000001,Debbie,Duran,debbie.duran@yahoo.com,US,Moraleston,2024-09-15,Budget,386.14,74.69,1.3,"Fashion,Health & Beauty",False,True,True,2025-09-12
CUST-2025-000002,Conrado,Avilés,conrado.avilés@hotmail.com,AU,Michel,2025-05-02,Budget,300.49,87.87,1.9,"Health & Beauty,Electronics,Sports",False,False,True,2025-12-26
CUST-2025-000003,África,Pablo,áfrica.pablo@hotmail.com,US,Saint JulieVille,2024-08-21,Regular,1881.79,128.2,3.0,"Home & Garden,Books",False,True,True,2025-09-14
CUST-2025-000004,Dierk,Lobato,dierk.lobato@hotmail.com,FR,Perleberg,2025-06-19,Premium,3757.89,312.66,4.4,"Electronics,Fashion,Health & Beauty",False,False,False,2025-09-04
CUST-2025-000005,Katherine,Andrade,katherine.andrade@yahoo.de,AU,Göttingen,2024-01-12,Regular,1370.09,47.87,4.1,"Sports,Health & Beauty",False,True,True,2024-08-10
CUST-2025-000006,Angela,Ritter,angela.ritter@hotmail.de,FR,Jacobboeuf,2023-01-01,Budget,412.01,59.14,2.5,"Electronics,Health & Beauty",False,True,False,2023-12-03
CUST-2025-000007,William,Aparicio,william.aparicio@sfr.fr,US,Córdoba,2023-08-22,Premium,8249.79,327.02,7.0,Sports,True,True,False,2023-11-11
CUST-2025-000008,Gustavo,Giraud,gustavo.giraud@dbmail.com,CA,Traore,2025-01-16,Regular,1385.42,154.3,2.8,Electronics,False,True,True,2025-03-09
CUST-2025-000009,Josette,Espinosa,josette.espinosa@hotmail.com,GB,Zaragoza,2023-09-21,Enterprise,24507.7,670.96,8.5,"Books,Home & Garden",False,True,True,2023-09-29
CUST-2025-000010,Ivana,Koch II,ivana.koch ii@yahoo.com,US,Peron,2025-11-10,Premium,7328.31,345.15,7.2,"Books,Electronics,Home & Garden",False,False,True,2025-12-11
CUST-2025-000011,Natanael,Drubin,natanael.drubin@laposte.net,US,Wittstock,2025-08-01,Regular,1951.07,166.94,3.0,"Electronics,Books",False,False,True,2025-10-15
CUST-2025-000012,Marthe,Garcia,marthe.garcia@gmx.de,US,Port Gloriamouth,2025-07-23,Budget,376.54,32.18,1.6,"Home & Garden,Electronics,Health & Beauty",False,True,False,2025-08-28
CUST-2025-000013,Edit,Gröttner,edit.gröttner@hotmail.com,US,Navarra,2024-09-01,Enterprise,13139.59,628.1,15.6,"Health & Beauty,Home & Garden",False,False,True,2025-07-21
CUST-2025-000014,Robert,Ballester,robert.ballester@aol.de,FR,Rossstad,2024-08-28,Regular,1500.94,181.95,5.6,"Books,Electronics",False,False,True,2024-09-20
CUST-2025-000015,Nancy,Cichorius,nancy.cichorius@hotmail.com,US,Greifswald,2024-06-22,Regular,1089.13,106.13,3.9,Fashion,False,True,False,2024-12-26
CUST-2025-000016,Sina,Nicholson,sina.nicholson@tele2.fr,FR,Crailsheim,2023-05-04,Regular,1726.59,119.63,5.7,Fashion,False,True,True,2023-05-05
CUST-2025-000017,Konstantin,Bien,konstantin.bien@hotmail.com,US,Staßfurt,2025-11-25,Regular,1755.12,75.72,3.8,"Sports,Fashion",False,True,True,2025-11-26
CUST-2025-000018,Rose-Marie,Schinke,rose-marie.schinke@web.de,US,Huet-sur-Aubry,2025-07-15,Budget,325.52,49.02,2.1,"Health & Beauty,Fashion,Home & Garden",False,False,True,2025-11-03
CUST-2025-000019,Adoración,Renaud,adoración.renaud@yahoo.fr,US,Cloppenburg,2025-03-06,Regular,2471.05,65.5,3.0,"Electronics,Sports",False,True,True,2025-11-07
CUST-2025-000020,Bertrand,Cañellas,bertrand.cañellas@hotmail.com,GB,Monicaport,2023-08-17,Regular,804.54,87.39,5.4,"Sports,Books,Electronics",False,False,True,2023-08-22
CUST-2025-000021,Franz-Peter,Harris,franz-peter.harris@bouygtel.fr,FR,North Sandra,2025-06-19,Budget,539.59,80.42,2.0,"Home & Garden,Sports,Fashion",False,True,True,2025-07-16
CUST-2025-000022,Claire,Pereira,claire.pereira@gmail.com,US,Jamesstad,2025-01-06,Budget,407.93,71.7,1.9,"Sports,Health & Beauty",False,True,True,2025-04-28
CUST-2025-000023,Anabel,Brun,anabel.brun@yahoo.de,US,Havelberg,2024-11-08,Regular,1203.05,164.81,4.4,"Home & Garden,Electronics",False,False,True,2025-12-24
CUST-2025-000024,Hélène,Pedro,hélène.pedro@gmail.com,IT,Port Brandon,2024-12-31,Regular,974.12,186.38,3.3,Health & Beauty,False,True,True,2025-04-20
CUST-2025-000025,Geneviève,Ollivier,geneviève.ollivier@yahoo.com,US,Dachau,2024-03-10,Enterprise,9218.08,710.75,9.7,Electronics,False,False,True,2024-10-27
CUST-2025-000026,Courtney,Döhn,courtney.döhn@hotmail.com,GB,Hersbruck,2023-10-13,Budget,472.8,75.11,1.9,"Fashion,Home & Garden,Electronics",False,False,True,2025-12-04
CUST-2025-000027,Ascensión,Ramsey,ascensión.ramsey@gmail.com,FR,Quedlinburg,2024-12-16,Budget,194.6,57.3,2.1,Books,False,True,True,2025-02-28
CUST-2025-000028,David,Estevez,david.estevez@hotmail.com,US,Lake Samantha,2025-08-08,Regular,2673.15,80.42,4.8,"Home & Garden,Health & Beauty,Electronics",False,True,True,2025-09-03
CUST-2025-000029,Paulina,Chauvin,paulina.chauvin@gmail.com,US,Olivier,2025-04-16,Regular,1538.82,138.58,4.2,"Electronics,Sports",False,True,True,2025-08-07
